微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数
BlauerAbfall,08月17日 01:56,//weibo.com/7472700109/M1n6nm70z?refer_flag=1001030103_,四川本科率低是因为我们不想考高分吗？四川天天停电是因为我们发不起电吗？四川发山火是因为我们人为纵火吗？ ?,yellow,0,7,6
美国创业者,08月17日 02:24,//weibo.com/3176804502/M1nhABlJa?refer_flag=1001030103_,【组图：2022年北半球?高烧不退】在中国，各地高温频频突破历史纪录，长江流域启动了旱灾预案。在欧洲，高温干旱导致山火频发，河流水位急剧下降更是严重干扰了工农业生产。美国的干旱，最大水库即将见底。 O组图：2022年北半球?高烧不退 ?,gold,83,13,31
风华绝代钱妙丽,08月17日 04:20,//weibo.com/3995721472/M1o2I8fyQ?refer_flag=1001030103_,最开始只是一场小小的暴雨，最初，没有人在意这场灾难，这不过是一场山火，一次旱灾，一个物种的灭绝，一座城市的消失……直到这场灾难与每个人相关 ?,yellow,0,0,0
元漫漫爱象,08月17日 07:50,//weibo.com/2906320055/M1pq3d45B?refer_flag=1001030103_,所谓的奢侈品不过是对濒危物种灭绝的帮凶手上拎的不是名牌包是动物的尸体是愚昧落后的体现是对生态文明最大的伤害“最初，没有人在意这场灾难。这不过是一场山火，一次旱灾，一个物种的灭绝，一座城市的消失。直到这场灾难和每个人息息相关。”自然界对人类的报复已经开始拒绝动物表演小吉象莫莉#亚洲象比大熊猫还要珍稀##央视呼吁禁止虐动物尽快立法##两代中国亚洲象的命运##呼吁动物保护法##云南书记要求反思游客为什么不来# 收起d,yellow,5,2,19
安睿睿语,08月17日 07:48,//weibo.com/7758999342/M1ppc2W72?refer_flag=1001030103_,曾经我们以为，人类已经完全掌控了自然，大坝可以改变河流的走向，沿海可以填海造田。即便是不可预测的地震，我们也有防震屋来抵御。然而疫情三年，人类引以为豪的现代医学体系全面告急，山火、暴雨和高温的极端气候，把气候变化的事实摊开在人类面前。古代先民对自然的敬畏突然回归人类的脑海，成为万物灵长太久的我们，终于回忆起了渺小的恐惧。于是，越来越多人重新想起：我们要到荒野中去。不是因为有新大陆而远航，而是因为远航才有了新大陆。 收起d,yellow,0,0,1
日照日报官博,08月17日 07:48,//weibo.com/6890796357/M1pp2hK31?refer_flag=1001030103_,【#欧洲66万公顷土地遭山火破坏##欧洲山火过火面积破同期纪录#】欧洲在近期的高温热浪天气中受影响十分严重，法国、西班牙等国家今年夏季接连发生山火。当地时间15日，欧盟委员会建立的欧洲森林火灾信息系统公布的数据显示，截至13日，欧洲今年已有近66万公顷土地遭山火毁坏，创2006年开始有相关记录以来的同期新高。 @央视财经 L央视财经的微博视频 收起d,blue,1,0,1
平安合江,08月17日 07:35,//weibo.com/5193552442/M1pk1aPmF?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。O网页链接 L中国警方在线的微博视频 收起d,blue,0,0,0
奶啵与桃,08月17日 07:26,//weibo.com/6124509331/M1pgqAYdM?refer_flag=1001030103_,#木里火场350名扑火队员待命扑救#很痛心1、不论这次火灾的最初成因是自然形成还是人为火种形成，山林火灾因为风向风力、阴晴雨雪变化、温度变化和火场内易燃物的数量、分布（比如枯枝），复燃率是比较高的。北美西海岸是温带海洋-地中海式气候，冬春季多雨，夏季干燥，山火和山火复燃多发生在夏秋，而中国很多地方不是大陆性就是季风性气候，冬春季山火和山火复燃的概率要高得多，对此应有充分心理准备，当地政府和当地消防部门更应心中有数，早有预案才对；2、从山火初燃至今已有10天左右，“4.2”悲剧至今也已过去近一周，按照4月2日之后各方的介绍，山火发生区域人口是比较稀少的，即便有一些居民点，在这么长的时间里也应完成疏散或其它应急防范动作，同时山林灭火最关键的步骤——紧急补打防火道以防火头蔓延失控，也应基本到位，倘如此则即便火场复燃，其危险程度也应该是有限的、可控的。如果这些必须到位的工作没有到位，那么应该说什么？我不说，大家说。3、不论上述必须到位的工作是否到位，31条牺牲的生命离开我们还没过“头七”，此时此刻应该把确保生命安全放在第一位——如前所述，如果该做的都已经做到位，山林火场复燃的威胁并不可怕，只需严防死守、防止火头“出圈”即可，除非必须，不应再冒险让更多消防官兵和其他人用生命入圈“直扑”，即便某些朋友说的对，“4.2”的“直扑”是“有道理的、不得已的”，那么复燃还要这么干就并非如此，绝非如此——倘复燃的山火还要这么去“不得已”一下，那么过去的几天，某些机构和个人都在忙什么？4、从目前看到的报道，这次出动人数虽多，行动还是比较谨慎的，总之希望每个人都平安，别的等事后再说吧。  O如何看待四川木里火场再度复燃？扑火队员该如何保障自身安全？ 收起d,yellow,0,0,0
Zephyr-Time折叠时光,08月17日 07:05,//weibo.com/1783369803/M1p7KB3oK?refer_flag=1001030103_,#Zephyr Time#Blessing·生日快乐愿你所期所遇皆触手可及未曾燃得山火也不入岁月蹉跎布置 / @Zephyr-Time折叠时光摄影 / @-辰瑞 ???场地 / @J.S modern cuisine现代美食（长嘉汇店） ?,yellow,0,0,3
平阴检察,08月17日 08:57,//weibo.com/5501668108/M1pR7EZ8s?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#微博正文 L中国警方在线的微博视频 收起d,blue,0,0,0
