,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数
0,bb花开富贵,2022年08月22日 01:59,//weibo.com/5711298195/M28gfkN0W?refer_flag=1001030103_,#重庆山火# 渝北空气中都是好大的烟味！ ​,None,0,7,3
1,太宰居居,2022年08月22日 01:59,//weibo.com/6608490840/M28geEKSy?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去上去！！ ​,None,0,0,0
2,串店太子妃-DiDi,2022年08月22日 01:59,//weibo.com/2795795341/M28gckaF6?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#一定要平安 ​,None,0,0,0
3,棣秭归,2022年08月22日 01:59,//weibo.com/7278701920/M28gbt8sj?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#保佑平安！！！ ​,None,0,0,0
4,侠侠猫,2022年08月22日 01:59,//weibo.com/5166830168/M28gawAS3?refer_flag=1001030103_,#重庆山火#刷微博到这会儿，起来上个厕所，厕所窗子没关，就是一股烧焦的味道 ​,yellow,0,0,0
5,im_xxz,2022年08月22日 01:59,//weibo.com/2716463381/M28gaiiuP?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#新牌坊已闻到空气中浓烈的燃烧味 ​,None,0,0,0
6,苏州小伊,2022年08月22日 01:59,//weibo.com/1996549777/M28g9EshE?refer_flag=1001030103_,#重庆山火#论一个宝妈的警惕性！！我起来好几次了，全封闭的空调环境下，还是闻到了烧糊了的味道。​我困的不行还是去了两遍厨房，直到发现窗户外面更大的味道，于是就开始四处找是不是小区有火灾。。。。​然后都没有，也醒了，看了一眼新闻。距离我们30公里。​希望尽快扑灭，人员安全。重庆最近真的是太热了 收起d,None,0,0,1
7,李飞爱麦麸,2022年08月22日 01:59,//weibo.com/7406623374/M28g9Esva?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#最近好多起火的，消防员和志愿者一定要平安 ​,ip,0,0,0
8,春天的熊和冬天的叉烧,2022年08月22日 01:59,//weibo.com/3436069700/M28g9CfR4?refer_flag=1001030103_,#重庆山火#关了窗户房间里还是好浓的烟味，晚上还有五六级大风，希望大家都能平平安安 ​,ip,0,0,0
9,浅忆的思绪,2022年08月22日 01:59,//weibo.com/7407806264/M28g7hGSE?refer_flag=1001030103_,#重庆山火#愿平安！求雨🌧️ ​,None,0,0,0
10,伤心炖排骨_,2022年08月22日 01:59,//weibo.com/7783792891/M28g71bab?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全 ​,None,0,0,0
11,期待小沛的大时代,2022年08月22日 01:59,//weibo.com/2101047803/M28g6sQHe?refer_flag=1001030103_,在家都能看到山火希望大家都能平平安安的！#重庆山火# ​,None,0,4,2
12,肉桂臭鼬酱,2022年08月22日 01:59,//weibo.com/5457252835/M28g692UI?refer_flag=1001030103_,离的挺远的，但我觉得味道已经穿透进我房间里了，打开窗户好浓烈啊疫情，山火，高温，干旱，今天风还特别大，重庆挺住祈祷所有人都平安🙏#重庆山火# ​,None,0,0,2
13,甜樱桃酿酒,2022年08月22日 01:59,//weibo.com/6961639956/M28g4kn2M?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#加油 ​,None,0,0,0
14,秦文龙的ting,2022年08月22日 01:59,//weibo.com/7523549554/M28g38qrb?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平平安安 ​,None,0,0,0
15,桃花三剪笑春风,2022年08月22日 01:59,//weibo.com/5855992267/M28g2A5Bu?refer_flag=1001030103_,#重庆山火#在线求雨，祈祷消防员志愿者们都能平安 ​,None,0,0,0
16,囍嘻嘻嘻嘻嘻嘻嘻囍,2022年08月22日 01:59,//weibo.com/6297458036/M28g2xT7u?refer_flag=1001030103_,#川渝人民要哭了#这个tag很过分！为川渝人民求雨🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧#重庆山火# 🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧#贵州赤水山火# 快快下雨 ​,ip,0,0,0
17,Z你少71点,2022年08月22日 01:59,//weibo.com/5887284755/M28g2iuOl?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#连续几天多地发生山火了求求了来场大雨吧🙏 🙏 🙏 🙏 🙏 🙏 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ ​,None,0,0,0
18,小舟初遇_,2022年08月22日 01:59,//weibo.com/6658683070/M28fZ1nKK?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#加油加油 ​,None,0,0,0
19,承诺730,2022年08月22日 01:59,//weibo.com/5022707369/M28fY88P5?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全🙏🙏 ​,None,0,0,0
