,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,,
0,琴声悠悠superman,08月29日 01:59,//weibo.com/6535168563/M3cfrsgOg?refer_flag=1001030103_,#思源驰援重庆山火#涓滴之水成海洋， 我在“思源驰援重庆山火”项目捐款成功！携手@蔡徐坤全球粉丝后援会，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,88,1206708
1,渝风新阅,08月29日 01:56,//weibo.com/3473490340/M3ceh4HHW?refer_flag=1001030103_,重庆山火，哪些殖人的话术 ?,ip,0,0,0,14,
2,王肖08051005,08月29日 01:55,//weibo.com/7289256226/M3cdZ5pJ0?refer_flag=1001030103_,#思源驰援重庆山火#小善意，大温暖。我在“思源驰援重庆山火”项目捐款成功！和@逝去的记忆碎片 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,82,
3,红星闪闪闪qqq,08月29日 01:54,//weibo.com/7759003271/M3cdFkKqP?refer_flag=1001030103_,#思源驰援重庆山火# 为爱前行，我一直在路上。我在“思源驰援重庆山火”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6SJGvIk ?,None,0,0,0,76,
4,左耳咄咄,08月29日 01:54,//weibo.com/7093408148/M3cdrDvM2?refer_flag=1001030103_,#在重庆有一种感动叫双向奔赴#今年的重庆真的很难，高温，山火，限电！但是今年的重庆真的很温暖！这种感动我相信只有中国人才懂 ?,None,0,0,2,63,
5,龙的传人202207,08月29日 01:49,//weibo.com/7770721451/M3cbuvzIx?refer_flag=1001030103_,8月28日上午，重庆。云南省森林消防总队增援重庆山火的最后3... O网页链接 ?,None,0,0,0,41,
6,社恐勿入,08月29日 01:47,//weibo.com/1712247722/M3caFopUu?refer_flag=1001030103_,我们的英雄，永远是逆人流而行的一群人，我们不需要个人英雄主义，中国人集体是英雄。#重庆山火。 ?,None,0,0,0,48,
7,开开心心浪浪钉jz,08月29日 01:42,//weibo.com/6449818069/M3c8Gu09q?refer_flag=1001030103_,#思源驰援重庆山火#我在“思源驰援重庆山火”项目捐款成功！希望我小小的力量和@LT的探戈 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,84,
8,文墨小生531,08月29日 01:41,//weibo.com/6800115065/M3c8p6lU4?refer_flag=1001030103_,雄起！实拍重庆骑士决战山火：00后骑手支援火线90小时 仅睡8小时 O网页链接 辛苦了！ ?,None,0,0,0,46,
9,时代少女团一王亦姝,08月29日 01:39,//weibo.com/7431400036/M3c7n0cyV?refer_flag=1001030103_,#思源驰援重庆山火#涓滴之水成海洋， 我在“思源驰援重庆山火”项目捐款成功！携手@时代少年团_时空星轨，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,88,
10,湖南卫视何小庭0619,08月29日 01:38,//weibo.com/1867422881/M3c74zbdr?refer_flag=1001030103_,这场面，太震撼了！重庆北碚人民欢送云南森林消防总队官兵，感谢！致敬！#重庆人民自发欢送灭火英雄##关窗也挡不住重庆人民的热情##重庆山火# @重庆发布 @鲜城重庆  ???,gold,0,0,2,86,
11,圆圈叉会儿腰,08月29日 01:31,//weibo.com/2744329865/M3c4hu8yq?refer_flag=1001030103_,#思源驰援重庆山火# 予人为乐，与己而乐。我在“思源驰援重庆山火”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6SJGvIk ?,yellow,0,0,0,74,
12,用户5wa3agly2g,08月29日 01:29,//weibo.com/1690993612/M3c3y010D?refer_flag=1001030103_,“根本不会有一点犹豫” “摩托车小伙”通宵支援重庆山火救援 O“根本不会有一点犹豫” “摩托车小伙”通宵支援重庆山火救援 ?,ip,0,0,1,62,
13,weishuty,08月29日 01:29,//weibo.com/7565628984/M3c3sDuf0?refer_flag=1001030103_,#思源驰援重庆山火#赠人玫瑰，手有余香。我在“思源驰援重庆山火”项目捐款成功！愿我和@蔡徐坤全球粉丝后援会 让爱心传递。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,1,83,
14,生活全报道,08月29日 01:29,//weibo.com/1888018193/M3c3ovkLh?refer_flag=1001030103_,【#重庆机车少年送云南消防员上前线#，#重庆山火扑救现场核心画面曝光#】8月25日，重庆北碚。云南森林消防前往重庆支援，重庆摩托车队载消防员赶赴山火救援前线。据云南森林消防消息，此次前往增援总人数已达736人，最远增援队伍机动距离达1300余公里。#浇水来清醒的重庆00后小伙发声##重庆北碚志愿者招募负责人发声#@九派新闻 L九派新闻的微博视频 ??? 收起d,blue,0,0,2,181,
15,东方战忽局,08月29日 01:27,//weibo.com/2075213595/M3c2Ae8jx?refer_flag=1001030103_,#中美对比#記録的猛暑の影響で、中国重慶市で大規模山火事が発生。消防士や警察、地元市民ら数千人総出の消火活動により、たった４日間で財産や人的被害がなく鎮火。対して、2018年米カリフォルニア州の山火事では消防士が休暇中との原因で消火作業が遅れ、山火事が二週間も燃え続け、大きな被害を出した。 L东方战忽局的微博视频 收起d,ip,1,0,2,161,
16,小葵很乖202211,08月29日 01:23,//weibo.com/7761828941/M3c0TnoKW?refer_flag=1001030103_,公益是蔡徐坤做的 横幅是当地人拉的 图片是网友拍的 罪是蔡徐坤受的 他永远都是做好事不留名的爱心歌手蔡徐坤。蔡徐坤#蔡徐坤为重庆山火救援捐款##蔡徐坤为重庆捐赠救灾物资#捐了也骂 不捐照样被骂 你们到底怎样才能放过他。 ?,None,0,4,25,112,
17,蓝亭小象,08月29日 01:22,//weibo.com/1913579602/M3c0EBV2w?refer_flag=1001030103_,新加坡《联合早报》对#重庆山火# 志愿者驰援的报道。 ?,yellow,0,1,17,28,
18,极地钓魚,08月29日 01:21,//weibo.com/7293505221/M3c0efJ1t?refer_flag=1001030103_,#思源驰援重庆山火#与爱同路，让爱回家。我在“思源驰援重庆山火”项目捐款成功！愿我和@檀多鱼 一起放大爱的力量！@中华思源工程扶贫基金会 思源驰援重庆山火 ?,ip,0,0,0,79,
