Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
29.0,中国日报网,08月17日 13:10,//weibo.com/2127460165/M1rvJAx9f?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。 L世面的微博视频 @世面 收起d,1.0,0.0,2.0,203,
421.0,听中国,08月17日 22:34,//weibo.com/1867571077/M1vcYu1jf?refer_flag=1001030103_,【#重庆涪陵区发生山火#】8月17日下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#涪陵山火##重庆涪陵山火仍在扑救中# （央广网记者 白刁尹）O重庆涪陵区发生山火 消防正在现场扑救 L央广网的微博视频 ?,1.0,2.0,3.0,142,
434.0,中国日报,08月17日 22:34,//weibo.com/1663072851/M1vcJ9lQC?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。@人民日报 L人民日报的微博视频 ?,23.0,63.0,89.0,73,
442.0,央广网,08月17日 22:33,//weibo.com/1683472727/M1vct9JEB?refer_flag=1001030103_,【#重庆涪陵区发生山火#】8月17日下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#重庆涪陵山火得到有效控制##重庆涪陵山火仍在扑救中# （央广网记者 白刁尹）O重庆涪陵区发生山火 消防正在现场扑救 L央广网的微博视频 ?,0.0,1.0,7.0,150,
459.0,环球时报,08月17日 22:32,//weibo.com/1974576991/M1vc63yf3?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾） L人民日报的微博视频 ?,38.0,69.0,169.0,79,
512.0,央视新闻,08月17日 22:28,//weibo.com/2656274875/M1vapvxGC?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。据了解，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（总台记者伍黎明 杨洋）L央视新闻的微博视频 ?,3774.0,6259.0,34912.0,102,
524.0,人民网,08月17日 22:27,//weibo.com/2286908003/M1va7dyq1?refer_flag=1001030103_,【愿平安！#重庆涪陵北山坪发生山火#】8月17日晚，重庆涪陵北山坪突发山火，后续情况正在了解中。#涪陵山火#@人民日报 L人民日报的微博视频 ?,72.0,209.0,444.0,72,
943.0,央视一套,08月17日 23:28,//weibo.com/2024623547/M1vyLp08S?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！@央视新闻 L央视新闻的微博视频 ?,12.0,10.0,20.0,104,
1582.0,正义网,08月18日 07:40,//weibo.com/1896650227/M1yMqbovJ?refer_flag=1001030103_,#法治ing#①#重庆涪陵山火仍在扑救中# 愿平安；②#湘潭大学回应强制毕业生换10人寝#：具体情况还在研究；③警惕！#家长挤压9天宝宝乳房致急性乳腺炎#；④#小男孩汗流浃背帮父母卸货#，网友：是个汉子……北京发布暴雨蓝色预警，雨天道路湿滑，注意交通安全??哦~ ?,8.0,4.0,43.0,133,
1610.0,中国新闻社,08月18日 07:32,//weibo.com/3604378011/M1yJ2nldK?refer_flag=1001030103_,【重庆#涪陵山火暂无人员伤亡#】重庆市涪陵区政府新闻办17日晚发布消息称，2022年8月17日18时28分许、20时30分许，荔枝街道、江北街道所辖山林相继发生火灾。涪陵区第一时间启动应急预案，组织消防力量前往扑救。目前，附近居民已及时疏散，暂无人员伤亡。过火面积和起火原因正在调查中。#重庆涪陵山火仍在扑救中# (记者 钟旖)O重庆市涪陵区发生山火 暂无人员伤亡 L人民日报的微博视频 收起d,1.0,0.0,6.0,197,
1617.0,中工网,08月18日 07:28,//weibo.com/2292896411/M1yHNxAgX?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】17日下午，重庆市涪陵区城区周边发生山火。据了解，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（总台记者伍黎明 杨洋）L央视新闻的微博视频 ?,0.0,0.0,1.0,103,
1681.0,中国新闻网,08月18日 07:11,//weibo.com/1784473157/M1yAPAkeU?refer_flag=1001030103_,【#重庆涪陵山火暂无人员伤亡#】重庆市涪陵区政府新闻办17日晚发布消息称，2022年8月17日18时28分许、20时30分许，荔枝街道、江北街道所辖山林相继发生火灾。涪陵区第一时间启动应急预案，组织消防力量前往扑救。目前，附近居民已及时疏散，暂无人员伤亡。过火面积和起火原因正在调查中。#重庆涪陵山火仍在扑救中# (记者 钟旖)O重庆市涪陵区发生山火 暂无人员伤亡 L人民日报的微博视频 收起d,23.0,45.0,160.0,197,
1712.0,人民网,08月18日 08:59,//weibo.com/2286908003/M1ziv9WBL?refer_flag=1001030103_,【#重庆涪陵山火明火已基本扑灭# 无人员伤亡】据涪陵发布，8月18日07时50分许，经过市、区消防力量全力扑救，江北街道所辖山林山火已得到有效控制，明火已基本扑灭，无人员伤亡，过火面积和起火原因正在进一步调查核实中。 ?,80.0,180.0,947.0,110,
1777.0,半月谈,08月18日 08:49,//weibo.com/2318265821/M1zeC3N1N?refer_flag=1001030103_,【#重庆涪陵江北街道山火明火基本扑灭#】#涪陵江北街道山火得到有效控制# 据重庆市涪陵区政府新闻办消息，2022年8月18日07时50分许，经过市、区消防力量全力扑救，江北街道所辖山林山火已得到有效控制，明火已基本扑灭，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（涪陵发布） ???,2.0,4.0,36.0,146,
1778.0,人民日报,08月18日 08:49,//weibo.com/2803301701/M1zeAxOdY?refer_flag=1001030103_,【#重庆江北街道山火明火基本扑灭#】据涪陵发布 ，2022年8月18日07时50分许，经过市、区消防力量全力扑救，江北街道所辖山林山火已得到有效控制，明火已基本扑灭，无人员伤亡，过火面积和起火原因正在进一步调查核实中。#重庆涪陵山火最新消息# ?,278.0,608.0,3789.0,123,
1793.0,农民日报,08月18日 08:48,//weibo.com/2821669511/M1zdUkO5n?refer_flag=1001030103_,【#重庆涪陵江北街道山火明火基本扑灭#】#涪陵江北街道山火得到有效控制# 据重庆市涪陵区政府新闻办消息，2022年8月18日07时50分许，经过市、区消防力量全力扑救，江北街道所辖山林山火已得到有效控制，明火已基本扑灭，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（涪陵发布） ?,0.0,0.0,7.0,144,
1800.0,中国网,08月18日 08:46,//weibo.com/3164957712/M1zdfgraq?refer_flag=1001030103_,【#重庆涪陵区江北街道山火得到有效控制# 无人员伤亡】据重庆市涪陵区政府新闻办消息， 2022年8月18日7时40分许，经过11小时的扑救，江北街道所辖山林山火已得到有效控制，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（央视新闻客户端） ????,52.0,0.0,52.0,128,
1801.0,中国新闻网,08月18日 08:45,//weibo.com/1784473157/M1zcZ0jzi?refer_flag=1001030103_,【#重庆涪陵江北街道山火明火基本扑灭#】#涪陵江北街道山火得到有效控制# 据重庆市涪陵区政府新闻办消息，2022年8月18日07时50分许，经过市、区消防力量全力扑救，江北街道所辖山林山火已得到有效控制，明火已基本扑灭，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（涪陵发布）L中国新闻网的微博视频 收起d,12.0,17.0,84.0,157,
1822.0,国家应急广播,08月18日 08:43,//weibo.com/3349909324/M1zbVEGO4?refer_flag=1001030103_,【#重庆涪陵区江北街道山火得到有效控制# 无人员伤亡】据重庆市涪陵区政府新闻办消息， 2022年8月18日7时40分许，经过11小时的扑救，江北街道所辖山林山火已得到有效控制，无人员伤亡，过火面积和起火原因正在进一步调查核实中。via央视新闻客户端 ?,1.0,2.0,9.0,126,
1832.0,中国日报网,08月18日 08:41,//weibo.com/2127460165/M1zbfET2q?refer_flag=1001030103_,【#重庆涪陵山火已得到有效控制#】#重庆涪陵山火最新情况# 据重庆市涪陵区政府新闻办消息， 2022年8月18日7时40分许，经过11小时的扑救，江北街道所辖山林山火已得到有效控制，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（央视新闻客户端） ???,0.0,1.0,7.0,130,
1842.0,中国日报,08月18日 08:40,//weibo.com/1663072851/M1zaDDkMm?refer_flag=1001030103_,【#重庆涪陵山火已得到有效控制#】#重庆涪陵山火最新情况# 据重庆市涪陵区政府新闻办消息， 2022年8月18日7时40分许，经过11小时的扑救，江北街道所辖山林山火已得到有效控制，无人员伤亡，过火面积和起火原因正在进一步调查核实中。（央视新闻客户端） ?,11.0,26.0,138.0,128,
1854.0,听中国,08月18日 08:37,//weibo.com/1867571077/M1z9uDOi6?refer_flag=1001030103_,【#重庆涪陵区江北街道山火得到有效控制# 无人员伤亡】据重庆市涪陵区政府新闻办消息， 2022年8月18日7时40分许，经过11小时的扑救，江北街道所辖山林山火已得到有效控制，无人员伤亡，过火面积和起火原因正在进一步调查核实中。#耳闻天下#戳链接，资讯大餐一触即“听”→O央广网 ?,0.0,0.0,0.0,141,
