Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
20.0,新京报我们视频,08月17日 11:32,//weibo.com/6124642021/M1qSlneEe?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。@世面 L世面的微博视频（编辑：王惜梦 制作：礼牧周 运营：王铭涓） 收起d,0.0,0.0,2.0,224,
90.0,四川观察新闻眼,08月17日 22:58,//weibo.com/6524697382/M1vmE2kqy?refer_flag=1001030103_,【暖心！#平安归来刷屏涪陵消防评论区# 】8月17日晚，涪陵北山坪突发山火，牵动了无数网友的心，众多网友在@涪陵消防119 下方留言，表达关切：请一定要平安归来！#重庆涪陵山火最新情况# ???,0.0,0.0,2.0,97,
91.0,四川电视台新闻现场,08月17日 22:58,//weibo.com/1718950972/M1vmE2k3D?refer_flag=1001030103_,【暖心！#平安归来刷屏涪陵消防评论区# 】8月17日晚，涪陵北山坪突发山火，牵动了无数网友的心，众多网友在@涪陵消防119 下方留言，表达关切：请一定要平安归来！#重庆涪陵山火最新情况# ???,0.0,1.0,0.0,97,
92.0,四川观察在现场,08月17日 22:58,//weibo.com/6524697383/M1vmDqGkT?refer_flag=1001030103_,【暖心！#平安归来刷屏涪陵消防评论区# 】8月17日晚，涪陵北山坪突发山火，牵动了无数网友的心，众多网友在@涪陵消防119 下方留言，表达关切：请一定要平安归来！#重庆涪陵山火最新情况# ???,0.0,0.0,1.0,97,
93.0,四川观察新视线,08月17日 22:58,//weibo.com/6524418706/M1vmDnnYx?refer_flag=1001030103_,【暖心！#平安归来刷屏涪陵消防评论区# 】8月17日晚，涪陵北山坪突发山火，牵动了无数网友的心，众多网友在@涪陵消防119 下方留言，表达关切：请一定要平安归来！#重庆涪陵山火最新情况# ???,0.0,0.0,0.0,97,
123.0,四川观察,08月17日 22:56,//weibo.com/3203137375/M1vlE0fQi?refer_flag=1001030103_,【暖心！#平安归来刷屏涪陵消防评论区# 】8月17日晚，涪陵北山坪突发山火，牵动了无数网友的心，众多网友在@涪陵消防119 下方留言，表达关切：请一定要平安归来！#重庆涪陵山火最新情况# #涪陵山火# ?,43.0,186.0,1152.0,102,
128.0,极目新闻,08月17日 22:55,//weibo.com/1720962692/M1vlmwRej?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视新闻）  L极目新闻的微博视频 ?,6.0,7.0,47.0,106,
171.0,四川观察新视线,08月17日 22:51,//weibo.com/6524418706/M1vjTfF0N?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???,0.0,0.0,1.0,111,
172.0,四川电视台新闻现场,08月17日 22:51,//weibo.com/1718950972/M1vjTezBz?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???,0.0,0.0,0.0,111,
173.0,四川观察新闻眼,08月17日 22:51,//weibo.com/6524697382/M1vjTdtuh?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???,0.0,0.0,0.0,111,
174.0,四川观察在现场,08月17日 22:51,//weibo.com/6524697383/M1vjSzDLv?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???,0.0,0.0,0.0,111,
175.0,河南广播电视台都市公益,08月17日 22:51,//weibo.com/2517697545/M1vjSE2Wg?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,0.0,0.0,0.0,84,
176.0,河南都市频道公益现场,08月17日 22:51,//weibo.com/3606500587/M1vjQ1QYR?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,0.0,0.0,0.0,84,
227.0,四川观察,08月17日 22:47,//weibo.com/3203137375/M1vib6qe8?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???#涪陵山火# ?,1.0,14.0,67.0,119,
247.0,福建日报,08月17日 22:45,//weibo.com/3365993480/M1vhfyu9P?refer_flag=1001030103_,#涪陵山火#【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ?,0.0,0.0,4.0,81,
252.0,海南日报,08月17日 22:45,//weibo.com/3204782330/M1vh7ib97?refer_flag=1001030103_,【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！via.央视新闻 ?,0.0,3.0,12.0,90,
256.0,山西青年报,08月17日 22:44,//weibo.com/1789594967/M1vgUdHgx?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。 L人民日报的微博视频 ?,0.0,0.0,0.0,68,
266.0,大象融媒,08月17日 22:43,//weibo.com/5312228022/M1vgtE2Vl?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,0.0,0.0,1.0,121,
277.0,点时新闻,08月17日 22:42,//weibo.com/7472856103/M1vg6349u?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,0.0,1.0,1.0,121,
283.0,陕西都市快报,08月17日 22:42,//weibo.com/1915671961/M1vfYBmyl?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  #涪陵山火# L人民日报的微博视频 ???,0.0,1.0,2.0,84,
285.0,新京报我们视频,08月17日 22:42,//weibo.com/6124642021/M1vfYkQfD?refer_flag=1001030103_,【#重庆涪陵突发山火#】@人民日报 从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。#涪陵山火# L人民日报的微博视频 ?,6.0,5.0,15.0,74,
299.0,华商网,08月17日 22:40,//weibo.com/1644855075/M1vfssebJ?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ?,1.0,0.0,4.0,80,
320.0,安徽日报,08月17日 22:39,//weibo.com/3120845115/M1veZpdKI?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。L人民日报的微博视频 ?,0.0,1.0,0.0,67,
346.0,内蒙古日报,08月17日 22:38,//weibo.com/3919603060/M1veztqix?refer_flag=1001030103_,#涪陵山火# 【 #重庆涪陵山火仍在扑救中#暂无人员伤亡】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，据重庆消防救援总队消息，目前山火仍在扑救过程中，暂无人员伤亡，后续情况正在了解中。（人民日报 央视）  L人民日报的微博视频 ?,0.0,0.0,5.0,122,
348.0,九派新闻,08月17日 22:38,//weibo.com/7516679696/M1vexDDzC?refer_flag=1001030103_,#涪陵山火#【愿平安！重庆涪陵突发山火：火势猛烈，消防正在扑救中】#涪陵山火暂无人员伤亡#8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻）@九派新闻 L九派新闻的微博视频 ?,0.0,0.0,2.0,133,
360.0,辽视第一时间,08月17日 22:37,//weibo.com/1368805177/M1vee8Cvg?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ???,0.0,0.0,0.0,82,
371.0,多彩贵州网,08月17日 22:37,//weibo.com/1960601312/M1vdSybaa?refer_flag=1001030103_,【愿平安！#重庆涪陵北山坪发生山火#】8月17日晚，重庆涪陵北山坪突发山火，后续情况正在了解中。@人民日报 L人民日报的微博视频 ???,0.0,0.0,2.0,68,
385.0,中原网,08月17日 22:36,//weibo.com/1746692527/M1vdvxv0C?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,0.0,0.0,1.0,121,
401.0,山海视频,08月17日 22:35,//weibo.com/7590570074/M1vdhoK4z?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,1.0,2.0,9.0,121,
471.0,四川观察新闻眼,08月17日 22:31,//weibo.com/6524697382/M1vbMzo8F?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,1.0,0.0,1.0,84,
472.0,四川电视台新闻现场,08月17日 22:31,//weibo.com/1718950972/M1vbMznMs?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,0.0,0.0,1.0,84,
473.0,四川观察在现场,08月17日 22:31,//weibo.com/6524697383/M1vbMhNFu?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,0.0,0.0,0.0,84,
474.0,封面新闻,08月17日 22:31,//weibo.com/1496814565/M1vbMhNem?refer_flag=1001030103_,【持续关注！#重庆涪陵山火目前暂无伤亡#】#涪陵山火#17日下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视新闻）L封面新闻的微博视频 ?,7.0,11.0,48.0,106,
475.0,四川观察新视线,08月17日 22:31,//weibo.com/6524418706/M1vbMgHKg?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???,0.0,0.0,0.0,84,
488.0,河北新闻网,08月17日 22:31,//weibo.com/2698146894/M1vbtqlI5?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ?,0.0,0.0,3.0,75,
493.0,红星新闻,08月17日 22:30,//weibo.com/6105713761/M1vbbFmS9?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火#  消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#涪陵官方回应山火情况##涪陵山火最新情况##涪陵山火# #重庆涪陵突发山火# L红星新闻的微博视频 收起d,8.0,13.0,55.0,157,
503.0,四川观察,08月17日 22:29,//weibo.com/3203137375/M1vaK8kSQ?refer_flag=1001030103_,【#重庆涪陵山火最新情况#】#重庆涪陵山火现场#记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）?L人民日报的微博视频 ???#涪陵山火# ?,10.0,19.0,52.0,92,
712.0,河北法制报,08月17日 23:47,//weibo.com/2294868264/M1vGCoov4?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ???,0.0,0.0,0.0,82,
776.0,红星新闻,08月17日 23:42,//weibo.com/6105713761/M1vEvbsTG?refer_flag=1001030103_,【一起转发！#涪陵消防平安归来#?】今日（8月17日），重庆涪陵突发山火，牵动了无数网友的心。@涪陵消防119  微博下涌进大批网友留言关心：消防队员们，请一定要平安归来！#看到涪陵消防微博评论破防了# #重庆涪陵山火仍在扑救中##涪陵山火# ?,42.0,39.0,353.0,123,
